%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
,	237968 1	$,,*,a0,l0,b0,s0,S0,w1
vary	237970 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	237975 1	stop,lo,a0,l1,b1,s0,S0,w1
good	237977 4	alpha,lo,a0,l5,b1,s0,S0,w1
deal	237982 4	alpha,lo,a0,l5,b1,s0,S0,w1
;	237986 1	$;,*,a0,l0,b0,s0,S0,w1
the	237988 3	stop,lo,a0,l3,b1,s0,S0,w1
normal	237992 6	alpha,lo,a0,lN,b1,s0,S0,w1
t\pe	237999 4	stop,lo,a0,l1,b1,s0,S0,w1 $/,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l3,b0,s0,S0,w0
being	238004 5	stop,lo,a0,l5,b1,s0,S0,w1
firmly	238010 6	alpha,lo,a0,lN,b1,s0,S0,w1
felted	238017 6	alpha,lo,a0,lN,b1,s0,S0,w1
together	238024 8	alpha,lo,a0,lN,b1,s0,S0,w1
and	238033 3	stop,lo,a0,l3,b1,s0,S0,w1
formed	238037 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	238044 2	stop,lo,a0,l3,b1,s0,S0,w1
moss	238047 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	238051 1	$,,*,a0,l0,b0,s0,S0,w1
a	238053 1	stop,lo,a0,l1,b1,s0,S0,w1
few	238055 3	stop,lo,a0,l3,b1,s0,S0,w1
lichens	238059 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	238067 3	stop,lo,a0,l3,b1,s0,S0,w1
spiders	238071 7	alpha,lo,a0,lN,b1,s0,S0,w1
'	238078 1	$',*,a0,l0,b0,s0,S0,w1
cocoons	238080 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	238087 1	$,,*,a0,l0,b0,s0,S0,w1
and	238089 3	stop,lo,a0,l3,b1,s0,S0,w1
lined	238093 5	alpha,lo,a0,l5,b1,s0,S0,w1
with	238099 4	stop,lo,a0,l5,b1,s0,S0,w1
rootlets	238104 8	alpha,lo,a0,lN,b1,s0,S0,w1
and	238113 3	stop,lo,a0,l3,b1,s0,S0,w1
hair	238117 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	238121 1	$,,*,a0,l0,b0,s0,S0,w1
intermingled	238123 12	alpha,lo,a0,lN,b1,s0,S0,w1
,	238135 1	$,,*,a0,l0,b0,s0,S0,w1
or	238137 2	stop,lo,a0,l3,b1,s0,S0,w1
covered	238140 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	238147 1	$,,*,a0,l0,b0,s0,S0,w1
with	238149 4	stop,lo,a0,l5,b1,s0,S0,w1
a	238154 1	stop,lo,a0,l1,b1,s0,S0,w1
la3	238156 3	alpha,lo,a0,l3,b1,s0,S0,w1 num,*,a0,l1,b0,s0,S0,w0
'er	238159 3	$',*,a0,l0,b0,s0,S0,w1 alpha,lo,a0,l3,b0,s0,S0,w0
of	238163 2	stop,lo,a0,l3,b1,s0,S0,w1
thistledown	238166 13	alpha,lo,a0,lN,b1,s0,S0,w1
;	238180 1	stop,cap,a0,l3,b1,s0,S0,w1
but	238182 3	stop,lo,a0,l3,b1,s0,S0,w1
one	238186 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	238190 2	stop,lo,a0,l3,b1,s0,S0,w1
my	238193 2	stop,lo,a0,l3,b1,s0,S0,w1
nests	238196 5	alpha,lo,a0,l5,b1,s0,S0,w1
has	238202 3	stop,lo,a0,l3,b1,s0,S0,w1
a	238206 1	stop,lo,a0,l1,b1,s0,S0,w1
rather	238208 6	alpha,lo,a0,lN,b1,s0,S0,w1
rough	238215 5	alpha,lo,a0,l5,b1,s0,S0,w1
aspect	238221 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	238227 1	$,,*,a0,l0,b0,s0,S0,w1
being	238229 5	stop,lo,a0,l5,b1,s0,S0,w1
constructed	238235 11	alpha,lo,a0,lN,b1,s0,S0,w1
of	238247 2	stop,lo,a0,l3,b1,s0,S0,w1
roots	238250 5	alpha,lo,a0,l5,b1,s0,S0,w1
and	238256 3	stop,lo,a0,l3,b1,s0,S0,w1
fibre	238260 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	238265 1	$,,*,a0,l0,b0,s0,S0,w1
mingled	238267 7	alpha,lo,a0,lN,b1,s0,S0,w1
with	238275 4	stop,lo,a0,l5,b1,s0,S0,w1
fine	238280 4	alpha,lo,a0,l5,b1,s0,S0,w1
worsted	238285 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	238292 1	$,,*,a0,l0,b0,s0,S0,w1
and	238294 3	stop,lo,a0,l3,b1,s0,S0,w1
with	238298 4	stop,lo,a0,l5,b1,s0,S0,w1
hardl	238303 5	alpha,lo,a0,l5,b1,s0,S0,w1
}-	238308 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
any	238311 3	stop,lo,a0,l3,b1,s0,S0,w1
moss	238315 4	alpha,lo,a0,l5,b1,s0,S0,w1
or	238320 2	stop,lo,a0,l3,b1,s0,S0,w1
lichen	238323 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	238330 2	stop,lo,a0,l3,b1,s0,S0,w1
the	238333 3	stop,lo,a0,l3,b1,s0,S0,w1
outer	238337 5	alpha,lo,a0,l5,b1,s0,S0,w1
walls	238343 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	238348 1	$,,*,a0,l0,b0,s0,S0,w1
but	238350 3	stop,lo,a0,l3,b1,s0,S0,w1
with	238354 4	stop,lo,a0,l5,b1,s0,S0,w1
the	238359 3	stop,lo,a0,l3,b1,s0,S0,w1
usual	238363 5	alpha,lo,a0,l5,b1,s0,S0,w1
lining	238369 6	alpha,lo,a0,lN,b1,s0,S0,w1
;	238376 1	stop,cap,a0,l3,b1,s0,S0,w1
others	238378 6	alpha,lo,a0,lN,b1,s0,S0,w1
have	238385 4	stop,lo,a0,l5,b1,s0,S0,w1
feathers	238390 8	alpha,lo,a0,lN,b1,s0,S0,w1
mixed	238399 5	alpha,lo,a0,l5,b1,s0,S0,w1
with	238405 4	stop,lo,a0,l5,b1,s0,S0,w1
the	238410 3	stop,lo,a0,l3,b1,s0,S0,w1
usual	238414 5	alpha,lo,a0,l5,b1,s0,S0,w1
materials	238420 9	alpha,lo,a0,lN,b1,s0,S0,w1
in	238430 2	stop,lo,a0,l3,b1,s0,S0,w1
the	238433 3	stop,lo,a0,l3,b1,s0,S0,w1
lining	238437 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	238443 1	$.,*,a0,l0,b0,s0,S1,w1

The	238445 3	stop,up,a0,l3,b1,s1,S0,w1
eggs	238449 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	238453 1	$,,*,a0,l0,b0,s0,S0,w1
four	238455 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	238460 2	stop,lo,a0,l3,b1,s0,S0,w1
six	238463 3	alpha,lo,a0,l3,b1,s0,S0,w1
in	238467 2	stop,lo,a0,l3,b1,s0,S0,w1
number	238470 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	238476 1	$,,*,a0,l0,b0,s0,S0,w1
are	238478 3	stop,lo,a0,l3,b1,s0,S0,w1
,	238481 1	$,,*,a0,l0,b0,s0,S0,w1
as	238483 2	stop,lo,a0,l3,b1,s0,S0,w1
a	238486 1	stop,lo,a0,l1,b1,s0,S0,w1
rule	238488 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	238492 1	$,,*,a0,l0,b0,s0,S0,w1
either	238494 6	alpha,lo,a0,lN,b1,s0,S0,w1
greenish	238501 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	238509 1	$,,*,a0,l0,b0,s0,S0,w1
or	238511 2	stop,lo,a0,l3,b1,s0,S0,w1
rosy	238514 4	alpha,lo,a0,l5,b1,s0,S0,w1
flesh-coloured	238519 14	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
,	238533 1	$,,*,a0,l0,b0,s0,S0,w1
the	238535 3	stop,lo,a0,l3,b1,s0,S0,w1
markings	238539 8	alpha,lo,a0,lN,b1,s0,S0,w1
consisting	238548 10	alpha,lo,a0,lN,b1,s0,S0,w1
of	238559 2	stop,lo,a0,l3,b1,s0,S0,w1
diffused	238562 8	alpha,lo,a0,lN,b1,s0,S0,w1
sienna	238571 6	alpha,lo,a0,lN,b1,s0,S0,w1
or	238578 2	stop,lo,a0,l3,b1,s0,S0,w1
ruddy	238581 5	alpha,lo,a0,l5,b1,s0,S0,w1
brownish	238587 8	alpha,lo,a0,lN,b1,s0,S0,w1
patches	238596 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	238604 3	stop,lo,a0,l3,b1,s0,S0,w1
streaks	238608 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	238615 1	$,,*,a0,l0,b0,s0,S0,w1
some	238617 4	stop,lo,a0,l5,b1,s0,S0,w1
of	238622 2	stop,lo,a0,l3,b1,s0,S0,w1
which	238625 5	stop,lo,a0,l5,b1,s0,S0,w1
enclose	238631 7	alpha,lo,a0,lN,b1,s0,S0,w1
blots	238639 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	238644 1	$,,*,a0,l0,b0,s0,S0,w1
commas	238646 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	238652 1	$,,*,a0,l0,b0,s0,S0,w1
dots	238654 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	238658 1	$,,*,a0,l0,b0,s0,S0,w1
streaks	238660 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	238667 1	$,,*,a0,l0,b0,s0,S0,w1
or	238669 2	stop,lo,a0,l3,b1,s0,S0,w1
hair-lines	238672 10	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
of	238683 2	stop,lo,a0,l3,b1,s0,S0,w1
blackish-brown	238686 14	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
;	238701 1	stop,lo,a0,l5,b0,s0,S0,w1
in	238703 2	stop,lo,a0,l3,b1,s0,S0,w1
some	238706 4	stop,lo,a0,l5,b1,s0,S0,w1
eggs	238711 4	alpha,lo,a0,l5,b1,s0,S0,w1
the	238716 3	stop,lo,a0,l3,b1,s0,S0,w1
reddish	238720 7	alpha,lo,a0,lN,b1,s0,S0,w1
markings	238728 8	alpha,lo,a0,lN,b1,s0,S0,w1
are	238737 3	stop,lo,a0,l3,b1,s0,S0,w1
chiefly	238741 7	alpha,lo,a0,lN,b1,s0,S0,w1
massed	238749 6	alpha,lo,a0,lN,b1,s0,S0,w1
over	238756 4	stop,lo,a0,l5,b1,s0,S0,w1
the	238761 3	stop,lo,a0,l3,b1,s0,S0,w1
larger	238765 6	alpha,lo,a0,lN,b1,s0,S0,w1
end	238772 3	alpha,lo,a0,l3,b1,s0,S0,w1
:	238776 1	$:,*,a0,l0,b1,s1,S0,w1
in	238778 2	stop,lo,a0,l3,b1,s0,S0,w1
others	238781 6	alpha,lo,a0,lN,b1,s0,S0,w1
the	238788 3	stop,lo,a0,l3,b1,s0,S0,w1
darker	238792 6	alpha,lo,a0,lN,b1,s0,S0,w1
markings	238799 8	alpha,lo,a0,lN,b1,s0,S0,w1
form	238808 4	alpha,lo,a0,l5,b1,s0,S0,w1
a	238813 1	stop,lo,a0,l1,b1,s0,S0,w1
subterminal	238815 11	alpha,lo,a0,lN,b1,s0,S0,w1
zone	238827 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	238831 1	$,,*,a0,l0,b0,s0,S0,w1
whilst	238833 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	238840 2	stop,lo,a0,l3,b1,s0,S0,w1
rare	238843 4	alpha,lo,a0,l5,b1,s0,S0,w1
instances	238848 9	alpha,lo,a0,lN,b1,s0,S0,w1
they	238858 4	stop,lo,a0,l5,b1,s0,S0,w1
are	238863 3	stop,lo,a0,l3,b1,s0,S0,w1
wholly	238867 6	alpha,lo,a0,lN,b1,s0,S0,w1
absent	238874 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	238880 1	$,,*,a0,l0,b0,s0,S0,w1
the	238882 3	stop,lo,a0,l3,b1,s0,S0,w1
eggs	238886 4	alpha,lo,a0,l5,b1,s0,S0,w1
being	238891 5	stop,lo,a0,l5,b1,s0,S0,w1
bluish	238897 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	238903 1	$,,*,a0,l0,b0,s0,S0,w1
slightly	238905 8	alpha,lo,a0,lN,b1,s0,S0,w1
clouded	238914 7	alpha,lo,a0,lN,b1,s0,S0,w1
with	238922 4	stop,lo,a0,l5,b1,s0,S0,w1
I	238927 1	stop,cap,a0,l1,b1,s0,S0,w1
'eddish	238928 7	$',*,a0,l0,b0,s0,S0,w1 alpha,lo,a0,lN,b0,s0,S0,w0
:	238936 1	$:,*,a0,l0,b1,s1,S0,w1
the	238938 3	stop,lo,a0,l3,b1,s0,S0,w1
rarest	238942 6	alpha,lo,a0,lN,b1,s0,S0,w1
t3	238949 2	stop,lo,a0,l1,b1,s0,S0,w1 num,*,a0,l1,b0,s0,S0,w0
'pe	238951 3	$',*,a0,l0,b0,s0,S0,w1 alpha,lo,a0,l3,b0,s0,S0,w0
,	238954 1	$,,*,a0,l0,b0,s0,S0,w1
of	238956 2	stop,lo,a0,l3,b1,s0,S0,w1
which	238959 5	stop,lo,a0,l5,b1,s0,S0,w1
I	238965 1	stop,cap,a0,l1,b1,s0,S0,w1
have	238967 4	stop,lo,a0,l5,b1,s0,S0,w1
only	238972 4	stop,lo,a0,l5,b1,s0,S0,w1
taken	238977 5	alpha,lo,a0,l5,b1,s0,S0,w1
two	238983 3	alpha,lo,a0,l3,b1,s0,S0,w1
clutches	238987 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	238995 1	$,,*,a0,l0,b0,s0,S0,w1
is	238997 2	stop,lo,a0,l3,b1,s0,S0,w1
exactly	239000 7	alpha,lo,a0,lN,b1,s0,S0,w1
like	239008 4	alpha,lo,a0,l5,b1,s0,S0,w1
some	239013 4	stop,lo,a0,l5,b1,s0,S0,w1
eggs	239018 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	239023 2	stop,lo,a0,l3,b1,s0,S0,w1
the	239026 3	stop,lo,a0,l3,b1,s0,S0,w1
Bullfinch	239030 9	alpha,up,a0,lN,b1,s0,S0,w1
,	239039 1	$,,*,a0,l0,b0,s0,S0,w1
clear	239041 5	alpha,lo,a0,l5,b1,s0,S0,w1
blue	239047 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	239051 1	$,,*,a0,l0,b0,s0,S0,w1
with	239053 4	stop,lo,a0,l5,b1,s0,S0,w1
grey	239058 4	alpha,lo,a0,l5,b1,s0,S0,w1
shell-spots	239063 11	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
,	239074 1	$,,*,a0,l0,b0,s0,S0,w1
purplish	239076 8	alpha,lo,a0,lN,b1,s0,S0,w1
patches	239085 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	239092 1	$,,*,a0,l0,b0,s0,S0,w1
and	239094 3	stop,lo,a0,l3,b1,s0,S0,w1
almost	239098 6	alpha,lo,a0,lN,b1,s0,S0,w1
black	239105 5	alpha,lo,a0,l5,b1,s0,S0,w1
surface	239111 7	alpha,lo,a0,lN,b1,s0,S0,w1
spots	239119 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	239124 1	$.,*,a0,l0,b0,s0,S1,w1

The	239126 3	stop,up,a0,l3,b1,s1,S0,w1
Chaffinch	239130 9	alpha,up,a0,lN,b1,s0,S0,w1
certainl	239140 8	alpha,lo,a0,lN,b1,s0,S0,w1
}-	239148 2	$),*,a0,l0,b0,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0
frequently	239151 10	alpha,lo,a0,lN,b1,s0,S0,w1
rears	239162 5	alpha,lo,a0,l5,b1,s0,S0,w1
three	239168 5	alpha,lo,a0,l5,b1,s0,S0,w1
broods	239174 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	239181 2	stop,lo,a0,l3,b1,s0,S0,w1
a	239184 1	stop,lo,a0,l1,b1,s0,S0,w1
year	239186 4	alpha,lo,a0,l5,b1,s0,S0,w1
;	239191 1	stop,lo,a0,l3,b1,s0,S0,w1
nidification	239193 12	alpha,lo,a0,lN,b1,s0,S0,w1
lasting	239206 7	alpha,lo,a0,lN,b1,s0,S0,w1
from	239214 4	stop,lo,a0,l5,b1,s0,S0,w1
April	239219 5	alpha,up,a0,l5,b1,s0,S0,w1
sometimes	239225 9	alpha,lo,a0,lN,b1,s0,S0,w1
to	239235 2	stop,lo,a0,l3,b1,s0,S0,w1
August	239238 6	alpha,up,a0,lN,b1,s0,S0,w1
.	239244 1	$.,*,a0,l0,b0,s0,S1,w1

The	239247 3	stop,up,a0,l3,b1,s1,S0,w1
natural	239251 7	alpha,lo,a0,lN,b1,s0,S0,w1
food	239259 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	239264 2	stop,lo,a0,l3,b1,s0,S0,w1
the	239267 3	stop,lo,a0,l3,b1,s0,S0,w1
Chaffinch	239271 9	alpha,up,a0,lN,b1,s0,S0,w1
in	239281 2	stop,lo,a0,l3,b1,s0,S0,w1
summer	239284 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	239290 1	$,,*,a0,l0,b0,s0,S0,w1
as	239292 2	stop,lo,a0,l3,b1,s0,S0,w1
already	239295 7	alpha,lo,a0,lN,b1,s0,S0,w1
stated	239303 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	239309 1	$,,*,a0,l0,b0,s0,S0,w1
consists	239311 8	alpha,lo,a0,lN,b1,s0,S0,w1
largely	239320 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	239328 2	stop,lo,a0,l3,b1,s0,S0,w1
insects	239331 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	239338 1	$,,*,a0,l0,b0,s0,S0,w1
their	239340 5	stop,lo,a0,l5,b1,s0,S0,w1
larvae	239346 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	239352 1	$,,*,a0,l0,b0,s0,S0,w1
spiders	239354 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	239361 1	$,,*,a0,l0,b0,s0,S0,w1
and	239363 3	stop,lo,a0,l3,b1,s0,S0,w1
the	239367 3	stop,lo,a0,l3,b1,s0,S0,w1
soft	239371 4	alpha,lo,a0,l5,b1,s0,S0,w1
foliage	239376 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	239384 3	stop,lo,a0,l3,b1,s0,S0,w1
unripe	239388 6	alpha,lo,a0,lN,b1,s0,S0,w1
seeds	239395 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	239401 2	stop,lo,a0,l3,b1,s0,S0,w1
weeds	239404 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	239410 1	stop,up,a0,l5,b1,s0,S0,w1
but	239412 3	stop,lo,a0,l3,b1,s0,S0,w1
at	239416 2	stop,lo,a0,l3,b1,s0,S0,w1
other	239419 5	stop,lo,a0,l5,b1,s0,S0,w1
times	239425 5	alpha,lo,a0,l5,b1,s0,S0,w1
it	239431 2	stop,lo,a0,l3,b1,s0,S0,w1
lives	239434 5	alpha,lo,a0,l5,b1,s0,S0,w1
chiefl	239440 6	alpha,lo,a0,lN,b1,s0,S0,w1
}	239446 1	$),*,a0,l0,b0,s0,S0,w1
'	239447 1	$',*,a0,l0,b0,s0,S0,w1
upou	239449 4	alpha,lo,a0,l5,b1,s0,S0,w1
various	239454 7	alpha,lo,a0,lN,b1,s0,S0,w1
kinds	239462 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	239468 2	stop,lo,a0,l3,b1,s0,S0,w1
seeds	239471 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	239477 2	stop,lo,a0,l3,b1,s0,S0,w1
weeds	239480 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	239485 1	$,,*,a0,l0,b0,s0,S0,w1
and	239487 3	stop,lo,a0,l3,b1,s0,S0,w1
of	239491 2	stop,lo,a0,l3,b1,s0,S0,w1
grain	239494 5	alpha,lo,a0,l5,b1,s0,S0,w1
.	239499 1	$.,*,a0,l0,b0,s0,S1,w1

In	239501 2	stop,up,a0,l3,b1,s1,S0,w1
confinement	239504 11	alpha,lo,a0,lN,b1,s0,S0,w1
it	239516 2	stop,lo,a0,l3,b1,s0,S0,w1
may	239519 3	alpha,lo,a0,l3,b1,s0,S0,w1
be	239523 2	stop,lo,a0,l3,b1,s0,S0,w1
kept	239526 4	alpha,lo,a0,l5,b1,s0,S0,w1
for	239531 3	stop,lo,a0,l3,b1,s0,S0,w1
3'	239535 2	num,*,a0,l1,b1,s0,S0,w1 $',*,a0,l0,b0,s0,S0,w0
ears	239537 4	alpha,lo,a0,l5,b0,s0,S0,w1
in	239542 2	stop,lo,a0,l3,b1,s0,S0,w1
health	239545 6	alpha,lo,a0,lN,b1,s0,S0,w1
without	239552 7	alpha,lo,a0,lN,b1,s0,S0,w1
insect	239560 6	alpha,lo,a0,lN,b1,s0,S0,w1
food	239567 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	239571 1	$,,*,a0,l0,b0,s0,S0,w1
but	239573 3	stop,lo,a0,l3,b1,s0,S0,w1
nevertheless	239577 12	alpha,lo,a0,lN,b1,s0,S0,w1
a	239590 1	stop,lo,a0,l1,b1,s0,S0,w1
few	239592 3	stop,lo,a0,l3,b1,s0,S0,w1
caterpillars	239596 12	alpha,lo,a0,lN,b1,s0,S0,w1
,	239608 1	$,,*,a0,l0,b0,s0,S0,w1
mealworms	239610 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	239619 1	$,,*,a0,l0,b0,s0,S0,w1
cockroaches	239621 11	alpha,lo,a0,lN,b1,s0,S0,w1
,	239632 1	$,,*,a0,l0,b0,s0,S0,w1
or	239634 2	stop,lo,a0,l3,b1,s0,S0,w1
spiders	239637 7	alpha,lo,a0,lN,b1,s0,S0,w1
certaiul	239645 8	alpha,lo,a0,lN,b1,s0,S0,w1
}	239653 1	$),*,a0,l0,b0,s0,S0,w1
^	239654 1	$~,*,a0,l0,b0,s0,S0,w1
are	239656 3	stop,lo,a0,l3,b1,s0,S0,w1
good	239660 4	alpha,lo,a0,l5,b1,s0,S0,w1
for	239665 3	stop,lo,a0,l3,b1,s0,S0,w1
it	239669 2	stop,lo,a0,l3,b1,s0,S0,w1
.	239671 1	$.,*,a0,l0,b0,s0,S1,w1

I	239674 1	stop,cap,a0,l1,b1,s1,S0,w1
think	239676 5	alpha,lo,a0,l5,b1,s0,S0,w1
it	239682 2	stop,lo,a0,l3,b1,s0,S0,w1
was	239685 3	stop,lo,a0,l3,b1,s0,S0,w1
about	239689 5	stop,lo,a0,l5,b1,s0,S0,w1
the	239695 3	stop,lo,a0,l3,b1,s0,S0,w1
year	239699 4	alpha,lo,a0,l5,b1,s0,S0,w1
1887	239704 4	num,*,a0,l5,b1,s0,S0,w1
that	239709 4	stop,lo,a0,l5,b1,s0,S0,w1
I	239714 1	stop,cap,a0,l1,b1,s0,S0,w1
took	239716 4	alpha,lo,a0,l5,b1,s0,S0,w1
and	239721 3	stop,lo,a0,l3,b1,s0,S0,w1
hand-reared	239725 11	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
a	239737 1	stop,lo,a0,l1,b1,s0,S0,w1
nest	239739 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	239744 2	stop,lo,a0,l3,b1,s0,S0,w1
four	239747 4	alpha,lo,a0,l5,b1,s0,S0,w1
young	239752 5	alpha,lo,a0,l5,b1,s0,S0,w1
Chaffinches	239758 11	alpha,up,a0,lN,b1,s0,S0,w1
,	239769 1	$,,*,a0,l0,b0,s0,S0,w1
which	239771 5	stop,lo,a0,l5,b1,s0,S0,w1
eventually	239777 10	alpha,lo,a0,lN,b1,s0,S0,w1
proved	239788 6	alpha,lo,a0,lN,b1,s0,S0,w1
to	239795 2	stop,lo,a0,l3,b1,s0,S0,w1
be	239798 2	stop,lo,a0,l3,b1,s0,S0,w1
two	239801 3	alpha,lo,a0,l3,b1,s0,S0,w1
pairs	239805 5	alpha,lo,a0,l5,b1,s0,S0,w1
:	239811 1	$:,*,a0,l0,b1,s1,S0,w1
the	239813 3	stop,lo,a0,l3,b1,s0,S0,w1
nestlings	239817 9	alpha,lo,a0,lN,b1,s0,S0,w1
are	239827 3	stop,lo,a0,l3,b1,s0,S0,w1
not	239831 3	stop,lo,a0,l3,b1,s0,S0,w1
eas	239835 3	alpha,lo,a0,l3,b1,s0,S0,w1
}	239838 1	$),*,a0,l0,b0,s0,S0,w1
^	239839 1	$~,*,a0,l0,b0,s0,S0,w1
to	239841 2	stop,lo,a0,l3,b1,s0,S0,w1
feed	239844 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	239848 1	$,,*,a0,l0,b0,s0,S0,w1
as	239850 2	stop,lo,a0,l3,b1,s0,S0,w1
the	239853 3	stop,lo,a0,l3,b1,s0,S0,w1
}	239856 1	$),*,a0,l0,b0,s0,S0,w1
^	239857 1	$~,*,a0,l0,b0,s0,S0,w1
always	239859 6	alpha,lo,a0,lN,b1,s0,S0,w1
back	239866 4	alpha,lo,a0,l5,b1,s0,S0,w1
away	239871 4	alpha,lo,a0,l5,b1,s0,S0,w1
from	239876 4	stop,lo,a0,l5,b1,s0,S0,w1
the	239881 3	stop,lo,a0,l3,b1,s0,S0,w1
food	239885 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	239889 1	$,,*,a0,l0,b0,s0,S0,w1
wagging	239891 7	alpha,lo,a0,lN,b1,s0,S0,w1
their	239899 5	stop,lo,a0,l5,b1,s0,S0,w1
heads	239905 5	alpha,lo,a0,l5,b1,s0,S0,w1
violently	239911 9	alpha,lo,a0,lN,b1,s0,S0,w1
from	239921 4	stop,lo,a0,l5,b1,s0,S0,w1
side	239926 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	239931 2	stop,lo,a0,l3,b1,s0,S0,w1
side	239934 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	239938 1	$,,*,a0,l0,b0,s0,S0,w1
so	239940 2	stop,lo,a0,l3,b1,s0,S0,w1
that	239943 4	stop,lo,a0,l5,b1,s0,S0,w1
it	239948 2	stop,lo,a0,l3,b1,s0,S0,w1
requires	239951 8	alpha,lo,a0,lN,b1,s0,S0,w1
patience	239960 8	alpha,lo,a0,lN,b1,s0,S0,w1
and	239969 3	stop,lo,a0,l3,b1,s0,S0,w1
dexterity	239973 9	alpha,lo,a0,lN,b1,s0,S0,w1
to	239983 2	stop,lo,a0,l3,b1,s0,S0,w1
pop	239986 3	alpha,lo,a0,l3,b1,s0,S0,w1
it	239990 2	stop,lo,a0,l3,b1,s0,S0,w1
into	239993 4	stop,lo,a0,l5,b1,s0,S0,w1
their	239998 5	stop,lo,a0,l5,b1,s0,S0,w1
wide-gaping	240004 11	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
mouths	240016 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	240022 1	$.,*,a0,l0,b0,s0,S1,w1

My	240024 2	stop,up,a0,l3,b1,s1,S0,w1
two	240027 3	alpha,lo,a0,l3,b1,s0,S0,w1
male	240031 4	alpha,lo,a0,l5,b1,s0,S0,w1
